"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","User","Login","0","0","2","0","0"
"","Store","Delete Order","0","0","2","0","0"
"","Store","Place Order","0","0","2","0","0"
"","User","Delete User","0","0","2","0","0"
"","Pet","Delete Pet","0","0","2","0","0"
"","User","Create User","0","0","3","0","0"
"","Store","Inventory","0","0","1","0","0"
"","Pet","Get Pet by Status","0","0","3","0","0"
"","User","Get User","0","0","2","0","0"
"","Pet","Update Pet","0","0","2","0","0"
"","Pet","Get Pet","0","0","2","0","0"
"","Store","Get Order","0","0","2","0","0"
"","User","Update User","0","0","1","0","0"
"","User","Logout","0","0","1","0","0"
"","Pet","Add Pet","0","0","1","0","0"
